Date,Open,High,Low,Close,Adj Close,Volume
2001-02-06,16.030882,16.984558,16.008175,16.712080,10.219140,11696584
2001-02-07,16.707539,16.707539,16.158037,16.348774,9.996984,10703922
2001-02-08,16.348774,16.394188,15.758401,15.821980,9.674862,12714788
2001-02-09,15.812897,15.812897,14.936421,15.213442,9.302751,13497599
2001-02-12,15.213442,15.322434,14.600363,14.804723,9.052827,13683008
2001-02-13,15.009083,15.531335,15.009083,15.077203,9.219441,14829149
2001-02-14,15.077203,15.667575,14.804723,15.617620,9.549900,14340305
2001-02-15,15.617620,16.802906,15.576748,16.507721,10.094177,22183829
2001-02-16,15.213442,15.213442,14.214351,15.045413,9.200007,27078875
2001-02-20,14.791099,14.791099,13.623978,13.851045,8.469668,24648968
2001-02-21,13.851045,14.527702,13.623978,13.628520,8.333602,18650940
2001-02-22,13.628520,14.032698,13.396912,13.519528,8.266953,23121000
2001-02-23,13.519528,13.737511,12.920073,13.623978,8.330823,19671127
2001-02-26,13.623978,13.973660,13.356040,13.623978,8.330823,18804419
2001-02-27,13.601272,13.601272,12.920073,12.988193,7.942052,19341267
2001-02-28,12.988193,13.346957,12.724796,13.101726,8.011476,20906669
2001-03-01,13.101726,13.396912,12.534060,13.169846,8.053125,21340903
2001-03-02,13.169846,13.964578,12.806540,13.405995,8.197530,18972652
2001-03-05,13.442325,14.032698,13.442325,13.796549,8.436347,9220214
2001-03-06,14.218892,14.986376,14.218892,14.600363,8.927863,15361152
2001-03-07,14.600363,14.936421,14.536785,14.691190,8.983400,13167079
2001-03-08,14.691190,14.713896,14.123524,14.382380,8.794570,11375092
2001-03-09,14.382380,14.382380,13.574024,13.737511,8.400245,13474699
2001-03-12,13.737511,14.600363,13.519528,13.569482,8.297502,16457968
2001-03-13,13.714805,14.396004,13.714805,14.350590,8.775134,13792227
2001-03-14,14.350590,14.645777,13.742053,14.055404,8.594632,16175892
2001-03-15,14.055404,14.414169,13.914623,13.941871,8.525207,11326207
2001-03-16,13.941871,14.078111,12.761126,12.761126,7.803200,31010766
2001-03-19,12.806540,13.946412,12.806540,13.851045,8.493850,15079296
2001-03-20,13.851045,14.305177,13.306085,13.310627,8.162455,12945558
2001-03-21,13.310627,13.810173,12.715713,13.274296,8.140172,12857918
2001-03-22,13.283379,14.191644,13.283379,14.028156,8.602462,17164370
2001-03-23,14.028156,14.523161,13.855586,14.155313,8.680438,15351023
2001-03-26,14.191644,14.577657,14.191644,14.373297,8.814112,10621567
2001-03-27,14.373297,14.845595,14.305177,14.659401,8.989559,13391463
2001-03-28,14.450500,14.450500,13.555858,13.769301,8.443724,14523511
2001-03-29,13.769301,14.405086,13.401453,13.914623,8.532841,8847196
2001-03-30,13.914623,14.359673,13.664850,14.200727,8.708283,9624722
2001-04-02,14.200727,14.273388,12.874659,13.133515,8.053842,15219563
