"","species","decimalLatitude","decimalLongitude","eventDate","year"
"9043","Asellus aquaticus",51.741554,4.47469,2006-09-11,2006
"9044","Asellus aquaticus",51.750263,4.544028,2009-07-08,2009
"9045","Asellus aquaticus",51.667168,4.246791,2010-05-25,2010
"9046","Asellus aquaticus",51.686232,4.347892,2005-10-03,2005
"9047","Asellus aquaticus",51.740436,4.546268,2008-09-18,2008
"9048","Asellus aquaticus",51.738118,4.577062,2004-07-15,2004
"9049","Asellus aquaticus",51.755605,4.601443,2009-06-05,2009
"9050","Asellus aquaticus",51.805924,4.031949,2009-05-18,2009
"9051","Asellus aquaticus",51.854606,4.645484,2007-07-09,2007
"9052","Asellus aquaticus",51.778298,4.310079,2007-08-16,2007
"9053","Asellus aquaticus",51.715791,4.474487,2009-07-16,2009
"9054","Asellus aquaticus",51.868973,4.494687,2005-05-31,2005
"9055","Asellus aquaticus",51.736527,4.438076,2003-09-18,2003
"9056","Asellus aquaticus",51.879527,4.490179,2010-07-05,2010
